Student ID :,,,,,,12438111
Name:,,,,,,จอห์น โดว
Class:,,,,,,A1
DateTime:,,,,,,2025-03-02T12:00:00+07:00
,,,,,,
Title,Normal Labour ฉาก  ทำคลอดทารก,,,,,
No,taskTitle,maxScore,obtainedScore,startTime,endTime,taskId
1,สวมถุงมือ Sterlize 1 คะแนน,1,0,,,T1
2,บีบน้ำยา Hibitane cream ในมือที่ใช้ตรวจภายใน 1 คะแนน,1,0,,,T2
3,สอดนิ้วเข้าไปทีละนิ้วในแนวตั้ง นิ้วกลาง นิ้วชี้ 1 คะแนน,1,0,,,T3
4,หงายมือ 1 คะแนน,1,0,,,T4
5,ประเมินชนิดของส่วนนํา พบเป็น Vertex presentation 1 คะแนน,1,0,,,T5
6,ประเมินการเปิดขยายของปากมดลูก พบ Cervical dilatation 3 cm 1 คะแนน,1,0,,,T6
7,ประเมิน effacement ความบางของปากมดลูก พบบางที่ 50% 1 คะแนน,1,0,,,T7
8,ประเมินถุงน้ำ ถุงน้ํายังอยู่ 1 คะแนน,1,0,,,T8
9,ประเมินท่าทารก ท่าทารกเป็นท่า ROA 1 คะแนน,1,0,,,T9
10,หลังจากนั้นประเมิน station พบ station สูงกว่า Ischial Spine 1 cm. 1 คะแนน,1,0,,,T10
11,ถอยมือออกมาในแนวตั้ง 1 คะแนน,1,0,,,T21
Summary,Score Summary Normal Labour ฉาก  ประเมินความก้าวหน้าการคลอด Case A ROA 3 cm,,,,,
,,,,,,
Title,Normal Labour ฉาก  ทำคลอดทารก ROA,,,,,
No,taskTitle,maxScore,obtainedScore,startTime,endTime,taskId
1,สวมถุงมือ Sterlize 1 คะแนน,1,0,,,T1
2,บีบน้ำยา Hibitane cream ในมือที่ใช้ตรวจภายใน 1 คะแนน,1,0,,,T2
3,สอดนิ้วเข้าไปทีละนิ้วในแนวตั้ง นิ้วกลาง นิ้วชี้ 1 คะแนน,1,0,,,T3
4,หงายมือ 1 คะแนน,1,0,,,T4
5,ประเมินชนิดของส่วนนํา พบเป็น Vertex presentation 1 คะแนน,1,0,,,T5
6,ประเมินการเปิดขยายของปากมดลูก 4 cm 1 คะแนน,1,0,,,T11
7,ประเมิน effacement ความบางของปากมดลูก พบบางที่ 70% 1 คะแนน,1,0,,,T12
8,ประเมินถุงน้ำ ถุงน้ํายังอยู่ MI 1 คะแนน,1,0,,,T13
9,ประเมินท่าทารก ท่าทารกเป็นท่า LOA 1 คะแนน,1,0,,,T14
10,หลังจากนั้นประเมิน station พบ station อยู่ระดับเดียวกันกับ Ischial Spine Station 0 1 คะแนน,1,0,,,T15
11,ถอยมือออกมาในแนวตั้ง 1 คะแนน,1,0,,,T21
Summary,Score Summary Normal Labour ฉาก  ประเมินความก้าวหน้าการคลอด Case B LOA 4 cm,,,,,
,,,,,,
Title,Normal Labour ฉาก  ทำคลอดทารก ROA,,,,,
No,taskTitle,maxScore,obtainedScore,startTime,endTime,taskId
1,สวมถุงมือ Sterlize 1 คะแนน,1,0,,,T1
2,บีบน้ำยา Hibitane cream ในมือที่ใช้ตรวจภายใน 1 คะแนน,1,0,,,T2
3,สอดนิ้วเข้าไปทีละนิ้วในแนวตั้ง นิ้วกลาง นิ้วชี้ 1 คะแนน,1,0,,,T3
4,หงายมือ 1 คะแนน,1,0,,,T4
5,ประเมินชนิดของส่วนนํา พบเป็น Vertex presentation 1 คะแนน,1,0,,,T5
6,ประเมินการเปิดขยายของปากมดลูก พบ Cervical fully dilatation 10 cm. 1 คะแนน,1,0,,,T16
7,ประเมิน effacement ความบางของปากมดลูก พบบางที่ 100% ไม่พบ effacement 1 คะแนน,1,0,,,T17
8,ประเมินถุงน้ำ ถุงน้ําแตกแล้ว MR 1 คะแนน,1,0,,,T18
9,ประเมินท่าทารก suture อยู่ในแนวตรง ท่าทารกเป็นท่า OA 1 คะแนน,1,0,,,T19
10,หลังจากนั้นประเมิน station พบ station ส่วนนําต่ํากว่า Ischial Spine Station 1 cm. 1 คะแนน,1,0,,,T20
11,ถอยมือออกมาในแนวตั้ง 1 คะแนน,1,0,,,T21
Summary,Score Summary Normal Labour ฉาก  ประเมินความก้าวหน้าการคลอด Case C OA 10 cm,,,,,
,,,,,,
Title,Normal Labour ฉาก  จัดเตรียมอุปกรณ์ทำคลอด และน้ำยา,,,,,
No,taskTitle,maxScore,obtainedScore,startTime,endTime,taskId
1,"ตรวจสอบวันหมดอายุบนฉลาก เปิดเซ็ตอุปกรณ์ทำคลอดตามหลักสเตอไรด์ (Animation) 
หยิบ Transfer forceps ไปพักไว้ในเซ็ตกะละมังคลอด / 1 คะแนน",1,1,2025-03-02T12:13:00+07:00,2025-03-02T12:13:20+07:00,T22
2,เปิดเซ็ตห่อผ้า ชั้นนอก ด้วยมือ / 1 คะแนน,1,1,,,T23
3,เปิดเซ็ตผ้า ชั้นใน ด้วย Transfer forceps / 1 คะแนน,1,1,,,T24
4,"ใช้ Transfer forceps คีบอุปกรณ์จากเซ็ตทำคลอด มาเรียงบนโต๊ะ ตามลำดับการใช้งาน จากซ้ายไปขวา  ให้ถูกต้อง
 (Sponge forceps 1 ,กรรไกรตัดฝีเย็บ 1,artery clamp 2 , กรรไกรตัดสายสะดือ 1,needle holder (สำหรับเย็บแผล) 1 ,
non-tooth forceps 1 ,tooth forceps 1 ,Sponge forceps สำรอง 2 ,ผ้าในเซ็ต 1)  / 10 คะแนน (หมายเหตุ Sponge forceps สำรอง ปรับเป็น 1 คะแนน)",10,1,,,T25
5,"ใช้ Transfer forceps คีบกะละมังจากเซ็ต มาเรียงตามลำดับการใช้งาน จากใกล้ตัวไปไกลตัว 
ให้ถูกต้อง (1.กะละมังเปล่า ,2.กะละมังสำลีเช็ดตา ,3.กะละมังสำลีเช็ดคอร์ด+เชือกผูกคอร์ด)  /4 คะแนน",4,1,,,T26
6,"นำถุงมือ, ไซริง, เข็มเบอร์ 18, 22 มาเรียงบนโต๊ะ ให้ถูกต้อง /2 คะแนน",2,1,,,T27
7,เทน้ำยาเบตาดีนลงในชามกลมเปล่า ปริมาณ 3/4  /1 คะแนน,1,1,,,T28
8,เทน้ำยาเช็ดตาลงในชามกลมสำลีเช็ดตา พอชุ่ม /1 คะแนน,1,1,,,T29
9,เทน้ำยา chlohexidine dilute ลงในกะละมังใหญ่ ที่มีก้อนสำลี เพื่อใช้สำหรับโกรกน้ำ และไม่เทใส่ในกะละมังรับรก / 1 คะแนน,1,1,,,T30
10,ใช้  Transfer forceps คีบชายผ้าผืนบนสุด ขึ้น 1 มุมแล้วจึงใช้มือจับ /1 คะแนน,1,1,,,T31
11,จากนั้นนำ Transfer forceps ไปคีบชายผ้าอีกมุม ยกผ้าออกจากโต๊ะ แล้วกางผ้าออก นำไปคลุมโต๊ะทำคลอด /1 คะแนน,1,1,,,T32
12,"ใช้มือปิดผ้าคลุมเซ็ตกะละมังคลอด ตามหลักสเตอไรด์ จับที่มุมผ้า เริ่มจากใกล้ตัว ,ซ้าย-ขวา หรือจะ ขวา-ซ้าย ก็ได้ ,
หมุน Ring stand กลับ 180 ํ ปิดผ้ามุมสุดท้าย /1 คะแนน",1,1,,,T33
Summary,Score Summary Normal Labour ฉาก  จัดเตรียมอุปกรณ์ทำคลอด และน้ำยา,,,,,
,,,,,,
Title,Normal Labour ฉาก  ล้างมือ 6 ขั้นตอน,,,,,
No,taskTitle,maxScore,obtainedScore,startTime,endTime,taskId
1,ล้างมือ 6 ขั้นตอน / 6 คะแนน,6,1,,,T34
Summary,Score Summary Normal Labour ฉาก  ล้างมือ 6 ขั้นตอน,,,,,
,,,,,,
Title,Normal Labour ฉาก  เปิดเซ็ตทำคลอด,,,,,
No,taskTitle,maxScore,obtainedScore,startTime,endTime,taskId
1,เปิดผ้าคลุมโต๊ะ ใช้ 2 มือสอดใต้ผ้าแล้วยกออก เช็ดมือให้แห้ง /1คะแนน,1,1,,,T35
2,นำผ้าไปสอดใต้ก้นผู้คลอด /1 คะแนน,1,1,,,T36
3,ใช้มือจับคอเสื้อ ยกออกมาปล่อยชายเสื้อลง เริ่มใส่แขนทั้ง 2 ข้างเข้าไปก่อน /1 คะแนน (ai ช่วยผูกเสื้อจากด้านหลัง),1,1,,,T37
4,หยิบกะละมังรก มาวางไว้บนโต๊ะคลอด / 1 คะแนน,1,1,,,T38
5,หยิบสำลีที่ชุบ chlohexidine dilute ไปโกรกน้ำผู้คลอด ไม่ทิ้งสำลี /1 คะแนน,1,1,,,T39
6,ใช้ sponge forceps คีบสำลีก้อนที่ 1 เพื่อสครับ 7 ตำแหน่ง คีบสำลีก้อนที่ 2 เพื่อสครับ 3 ตำแหน่ง  /10 คะแนน,10,1,,,T40
7,หนีบ sponge forceps ไว้ชายผ้าของโต๊ะ /1 คะแนน,1,1,,,T41
8,หยิบผ้า 1 ชิ้น กางเต็มผืนปูบนเตียง บริเวณหว่างขาผู้คลอด / 1 คะแนน,1,1,,,T42
9,หยิบผ้า 4 ชิ้นจากโต๊ะคลอด (มี Animation นับ 1-4) มาวางบนเตียง /1 คะแนน,1,1,,,T43
10,สวมปลอกขาใกล้ตัว /1 คะแนน,1,1,,,T44
11,สวมปลอกขาไกลตัว /1 คะแนน,1,1,,,T45
12,กางผ้าครึ่งผืนปูบนหน้าท้องผู้คลอด ให้สันผ้าอยู่ด้านบน /2 คะแนน,2,1,,,T46
13,ปูผ้า safe perineum กางออกแนวยาว พับส่วนบนลงมา 1/3 ของผ้า /1 คะแนน,1,1,,,T47
14,หยิบลูกยางแดงกับกรรไกรตัดฝีเย็บ มาวางบนเตียงคลอด โดยสอดไว้ใต้ผ้า safe perineum /2 คะแนน,2,1,,,T48
Summary,Score Summary Normal Labour ฉาก  เปิดเซ็ตทำคลอด,,,,,
,,,,,,
Title,Normal Labour ฉาก  ทำคลอดทารก ROA,,,,,
No,taskTitle,maxScore,obtainedScore,startTime,endTime,taskId
1,ตัดฝีเย็บ ใช้นิ้วกลางและนิ้วชี้ข้างซ้ายช่วยรองบริเวณช่องคลอดกันศรีษะทารกไว้ มือขวาจับกรรไกร ตัดเฉียงทำมุม 45 องศา /1 คะแนน,1,1,,,T49
2,นำกรรไกรกลับไปวางตำแหน่งเดิม /1 คะแนน,1,1,,,T50
3,เมื่อศรีษะทารกเริ่มโผล่ มือขวาดึงผ้าเข้าไปทำการ safe perineum มือซ้ายประคองด้านบนไม่ให้ศรีษะทารกคลอดเร็วเกินไป /1 คะแนน,1,1,,,T51
4,เมื่อศรีษะทารกโผล่ออกมาถึงขมับ ขยับมือซ้ายจับประคองขมับทารก ยกขึ้นเล็กน้อย /1 คะแนน ดันผ้า safe perineum ซุกเข้าไปใต้ก้นผู้คลอด,1,1,,,T52
5,หยิบสำลีเช็ดตาออกมา แบ่งสำลีเป็น 2 ก้อน นำไปเช็ดตาทารกพร้อมกัน 2 ข้าง จากหัวตาไปหางตา /1 คะแนน,1,1,,,T53
6,ทิ้งสำลีลงถังขยะ /1 คะแนน,1,1,,,T54
7,"ใช้มือประคองศรีษะทารก ด้านบนและด้านล่าง แล้วจึงหมุนทวนเข็มนาฬิกา 180 ํ 
ให้หน้าทารกหงายขึ้น /1 คะแนน",1,1,,,T55
8,นำลูกยางแดงมาดูดเสมหะปากและจมูก 2 ข้าง เสร็จแล้วนำไปวางที่เดิม /1 คะแนน หมุนศรีษะทารกกลับ 90 ํ/1 คะแนน,2,1,,,T56
9,สอดปลายนิ้วเข้าไปบริเวณซอกคอทารก เพื่อเช็คว่าสายสะดือพันคอหรือไม่ /1 คะแนน,1,1,,,T57
10,ทำการคลอดไหล่บนโดยโน้มตัวทารกลงจนเห็นซอกไหล่ แล้วจึงทำการคลอดไหล่ล่างโดยโน้มตัวทารกขึ้น จนเห็นซอกไหล่,1,1,,,T58
11,ทำการคลอดลำตัว ใช้มือ 2 ข้างประคองบริเวณศรีษะและคอทารก เมื่อลำตัวทารกคลอดออกมา มืออีกข้างเลื่อนไปประคองลำตัวหรือขาทารก /1 คะแนน,1,1,,,T59
12,เมื่อทารกคลอดออกมาแล้ว นำทารกวางขวางเตียง โดยหันหน้าตรงข้ามกับช่องคลอด,1,1,,,T60
13,นำลูกยางแดงมาดูดเสมหะปากและจมูก 2 ข้าง เสร็จแล้วนำไปวางที่เดิม /1 คะแนน (ทิ้งขยะหรือตกพื้นหักคะแนน),1,1,,,T61
14,ทำการกระตุ้นให้ร้อง โดยมือข้างหนึ่งจับขาทารกยกขึ้นเล็กน้อย ใช้นิ้วมืออีกข้างดีดลงไปบริเวณฝ่าเท้าทารก /1 คะแนน,1,1,,,T62
Summary,Score Summary Normal Labour ฉาก  ทำคลอดทารก ROA,,,,,
,,,,,,
Title,Normal Labour ฉาก  ทำคลอดทารก LOA,,,,,
No,taskTitle,maxScore,obtainedScore,startTime,endTime,taskId
1,ตัดฝีเย็บ ใช้นิ้วกลางและนิ้วชี้ข้างซ้ายช่วยรองบริเวณช่องคลอดกันศรีษะทารกไว้ มือขวาจับกรรไกร ตัดเฉียงทำมุม 45 องศา /1 คะแนน,1,0,,,T63
2,นำกรรไกรกลับไปวางตำแหน่งเดิม /1 คะแนน,1,0,,,T64
3,เมื่อศรีษะทารกเริ่มโผล่ มือขวาดึงผ้าเข้าไปทำการ safe perineum มือซ้ายประคองด้านบนไม่ให้ศรีษะทารกคลอดเร็วเกินไป /1 คะแนน,1,0,,,T65
4,เมื่อศรีษะทารกโผล่ออกมาถึงขมับ ขยับมือซ้ายจับประคองขมับทารก ยกขึ้นเล็กน้อย /1 คะแนน ดันผ้า safe perineum ซุกเข้าไปใต้ก้นผู้คลอด,1,0,,,T66
5,หยิบสำลีเช็ดตาออกมา แบ่งสำลีเป็น 2 ก้อน นำไปเช็ดตาทารกพร้อมกัน 2 ข้าง จากหัวตาไปหางตา /1 คะแนน,1,0,,,T67
6,ทิ้งสำลีลงถังขยะ /1 คะแนน,1,0,,,T68
7,ใช้มือประคองศรีษะทารก ด้านบนและด้านล่าง แล้วจึงหมุนตามเข็มนาฬิกา 180 ํ ให้หน้าทารกหงายขึ้น /1 คะแนน,1,0,,,T69
8,นำลูกยางแดงมาดูดเสมหะปากและจมูก 2 ข้าง เสร็จแล้วนำไปวางที่เดิม /1 คะแนน หมุนศรีษะทารกกลับ 90 ํ/1 คะแนน,2,0,,,T70
9,สอดปลายนิ้วเข้าไปบริเวณซอกคอทารก เพื่อเช็คว่าสายสะดือพันคอหรือไม่ /1 คะแนน,1,0,,,T71
10,ทำการคลอดไหล่บนโดยโน้มตัวทารกลงจนเห็นซอกไหล่ แล้วจึงทำการคลอดไหล่ล่างโดยโน้มตัวทารกขึ้น จนเห็นซอกไหล่,1,0,,,T72
11,ทำการคลอดลำตัว ใช้มือ 2 ข้างประคองบริเวณศรีษะและคอทารก เมื่อลำตัวทารกคลอดออกมา มืออีกข้างเลื่อนไปประคองลำตัวหรือขาทารก /1 คะแนน,1,0,,,T73
12,เมื่อทารกคลอดออกมาแล้ว นำทารกวางขวางเตียง โดยหันหน้าตรงข้ามกับช่องคลอด,1,0,,,T74
13,นำลูกยางแดงมาดูดเสมหะปากและจมูก 2 ข้าง เสร็จแล้วนำไปวางที่เดิม /1 คะแนน (ทิ้งขยะหรือตกพื้นหักคะแนน) ทำการเช็ดตัวทารกด้วยผ้าอุ่น (ai ยื่นผ้ามา),1,0,,,T75
14,ทำการกระตุ้นให้ร้อง โดยมือข้างหนึ่งจับขาทารกยกขึ้นเล็กน้อย ใช้นิ้วมืออีกข้างดีดลงไปบริเวณฝ่าเท้าทารก /1 คะแนน,1,0,,,T76
Summary,Score Summary Normal Labour ฉาก  ทำคลอดทารก LOA,,,,,
,,,,,,
Title,Normal Labour ฉาก  ทำคลอดทารก ROA,,,,,
No,taskTitle,maxScore,obtainedScore,startTime,endTime,taskId
1,นำเชือกผูกคอร์ดมาผูกสายสะดือ ห่างจากขั้ว 2 Cm.,1,1,,,T77
2,รีดสายสะดือพร้อมเชือก มือข้างหนึ่งจับค้างไว้ อีกมือนำ artery clamp มาหนีบห่างจากจุดผูกเชือก 2 cm. /1 คะแนน,1,1,,,T78
3,ใช้ฝามือรองใต้สายสะดือ นำกรรไกรตัดคอร์ดมาตัดระหว่างกลาง/1คะแนน ใช้สำลีก้อนเดิมเช็ดปลายสายสะดือฝั่งทารก ทิ้งสำลีลงถังขยะ /1 คะแนน,2,1,,,T79
4,"ใช้ 2 มือประคองตัวทารก บริเวณคอและก้น ยกให้มารดาดูเพศแล้วส่งทารกให้ผู้ช่วย(ai) 
นำทารกไปวางในคริบ จากนั้นส่งลูกยางไปกับทารกด้วย /1 คะแนน",1,1,,,T80
Summary,Score Summary Normal Labour ฉาก  ตัดสายสะดือ,,,,,
,,,,,,
Title,Normal Labour ฉาก  ทำคลอดทารก ROA,,,,,
No,taskTitle,maxScore,obtainedScore,startTime,endTime,taskId
1,นำกะละมังรกมาวางบนเตียง /1 คะแนน,1,1,,,T81
2,Uterine sign เปิดผ้าหน้าท้องดูการยุบตัวลงมาถึงสะดือ /1 คะแนน,1,1,,,T82
3,Vulva sign มีเลือดไหลออกมา 30-60% มีคำถามขึ้นมา /1 คะแนน,1,1,,,T83
4,cord sign สายสะดือจะเหี่ยว คลายเกลียว ทำการเช็คชีพจร โดยใช้นิ้วชี้กับนิ้วกลางหนีบบริเวณสายสะดือ /1 คะแนน,1,1,,,T84
5,ทำ Cord Test,1,1,,,T85
6,วางมือบริเวณ lower คว่ำมือดันลงจนเห็นขั้วรก / 1 คะแนน,1,1,,,T86
7,วางมือบริเวณ lower หงายมือแล้วดันขึ้น / 1 คะแนน,1,1,,,T87
8,นำกะละมังมารองรกให้ทัน /1 คะแนน,1,1,,,T88
Summary,Score Summary Normal Labour ฉาก  คลอดรก,,,,,
,,,,,,
Title,Normal Labour ฉาก  ทำคลอดทารก ROA,,,,,
No,taskTitle,maxScore,obtainedScore,startTime,endTime,taskId
1,"ประเมินก่อนว่าสารละลายที่ให้กับผู้คลอดเป็นสารละลายที่มีปริมาณออกซิโทซิน 
จํานวนเท่าไหร่ประเมินก่อนว่าสารละลายที่ให้กับผู้คลอดเป็นสารละลายที่มีปริมาณออกซิโทซิน จํานวนเท่าไหร่
หรือว่า ได้รับการเร่งคลอดด้วยออกซิโทซิน หรือไม่ (มีการประเมินให้ 1 คะแนน)",1,1,,,T89
2,หลังจากได้รับยาเร่งคลอดไปแล้ว จะแอดเพิ่มหลังจากคลอดทารก อีก 10u /มีคำถามให้เลือกปริมาณยา เลือกถูกให้ 1 คะแนน,1,1,,,T90
3,ก่อนให้ยา methergin ต้องทำการวัดความดันก่อน /ให้ 1 คะแนน,1,1,,,T91
4,ตัดสินใจให้ยา pop up ให้เลือกยาและปริมาณ ชื่อ methergin เลือกถูก ให้ 1 คะแนน,1,1,,,T92
5,pop up ให้เลือกปริมาณยา เลือก 0.2 มิลลิกรัม iv ให้ 1 คะแนน,1,1,,,T93
Summary,Score Summary Normal Labour ฉาก  ผู้ช่วยฉีดยาทำคลอด,,,,,
,,,,,,
Title,Normal Labour ฉาก  ทำคลอดทารก ROA,,,,,
No,taskTitle,maxScore,obtainedScore,startTime,endTime,taskId
1,โดยต้องนำทารกมาวาง ภายใต้ radiant warmer เท่านั้น /1 คะแนน,1,1,,,T94
2,คลายผ้าห่อตัวทารกออก ตัวทารกจะยังเปียกอยู่ต้องรีบเช็ดตัวให้แห้ง /1 คะแนน,1,1,,,T95
3,การเช็ดตาทารก ต้องใส่ถุงมือสเตอร์ไรด์ก่อน /1 คะแนน,1,1,,,T96
4,หยิบสําลีชุบ normal saline มาเช็ดตาทารกพร้อมกันทั้ง 2 ข้าง โดยเช็ดจากหัวตาไปหางตา /1 คะแนน,1,1,,,T97
5,เสร็จแล้วนำสำลีทิ้งลงในถังขยะ /1 คะแนน,1,1,,,T98
6,ขึ้น Pop up คำถามให้เลือกตัวยาที่จะใช้หยอดตาทารก เพื่อป้องกันการติดเชื้อ โดยหยอดจากหัวตาไปหางตา ใช้ตัวยาเทอราไมซินออยล์เมนท์ /1 คะแนน,1,1,,,T99
7,ใช้สําลีชุบแอลกอฮอล์เช็ดที่ปลายตัดก่อนแล้วจึงเช็ดโดยวนลงมาด้านล่าง /1 คะแนน ทิ้งสําลีลงถังขยะ,1,1,,,T100
8,ทำการบีบคอร์ดบริเวณใต้เชือก สังเกตว่ามีเลือดออกมาหรือไม่ /1 คะแนน,1,1,,,T101
9,วัดอุณหภูมิทารก ด้วยเทอร์โมมิเตอร์ วัดทางทวารหนัก /1 คะแนน,1,1,,,T102
10,นำทารกไปชั่งน้ำหนักที่เครื่องชั่ง จะอยู่ใต้ radiant warmer อีกเครื่อง /1 คะแนน,1,1,,,T103
11,เริ่มจากจับเข่าทารกให้ขาเหยียดตรง จากนั้นไล่จับบริเวณศีรษะแล้วก็เลื่อนแถบวัดลงมา /1 คะแนน,1,1,,,T104
12,ให้นำทารกกลับไปวางไว้ภายใต้ radiant warmer เครื่องที่ทำการปูผ้าสะอาดไว้แล้ว /1 คะแนน,1,1,,,T105
13,ติด skin probe โดยหันด้านที่มีแผ่นโลหะรับอุณหภูมิ ที่ท้องของทารกบริเวณที่ไม่มีปุ่มกระดูก เพื่อเป็นตัวเซ็นเซอร์รับอุณหภูมิจากผิวกาย โดยใช้ innotape เป็นตัวยึด /2 คะแนน,2,1,,,T106
14,ติด oxygen sat บริเวณข้อมือขวาของทารก /1 คะแนน,1,1,,,T107
15,ปรับอุณหภูมิเครื่อง radiant warmer เป็น baby mode ตั้งค่า temperature ไว้ที่ 37 ํc /1 คะแนน,1,1,,,T108
16,เปิดโหมด oxygen sat ให้วัดปริมาณ oxygen ในกระแสเลือดของทารก /1 คะแนน,1,1,,,T109
17,เคสนี้ทารกมีอุณหภูมิกายต่ำ ต้องนําหมวกมาสวมให้กับทารก แล้ววัดอุณหภูมิซ้ำ /1 คะแนน,1,1,,,T110
Summary,Score Summary Normal Labour ฉาก  การดูแลทารกแรกเกิดทันที,,,,,